"Sample","Gender"
"US82900153_252489110124_S01_GE2_105_Jan09","M"
"US82900153_252489110125_S01_GE2_105_Jan09","M"
"US82900153_252489110126_S01_GE2_105_Jan09","M"
"US82900153_252489110129_S01_GE2_105_Jan09","M"
"US82900153_252489110130_S01_GE2_105_Jan09","M"
"US82900153_252489110131_S01_GE2_105_Jan09","F"
"US82900153_252489110132_S01_GE2_105_Jan09","M"
"US82900153_252489110144_S01_GE2_105_Jan09","M"
"US82900153_252489110145_S01_GE2_105_Jan09","F"
"US82900153_252489110146_S01_GE2_105_Jan09","M"
"US82900153_252489110147_S01_GE2_105_Jan09","M"
"US82900153_252489110148_S01_GE2_105_Jan09","M"
"US82900153_252489110149_S01_GE2_105_Jan09","F"
"US82900153_252489110150_S01_GE2_105_Jan09","F"
"US82900153_252489110151_S01_GE2_105_Jan09","F"
"US82900153_252489110154_S01_GE2_105_Jan09","M"
"US82900153_252489110155_S01_GE2_105_Jan09","M"
"US82900153_252489110156_S01_GE2_105_Jan09","M"
"US82900153_252489110157_S01_GE2_105_Jan09","F"
"US82900153_252489110158_S01_GE2_105_Jan09","F"
"US82900153_252489110159_S01_GE2_105_Jan09","M"
"US82900153_252489110160_S01_GE2_105_Jan09","M"
"US82900153_252489110161_S01_GE2_105_Jan09","F"
"US82900153_252489110162_S01_GE2_105_Jan09","F"
"US82900153_252489110163_S01_GE2_105_Jan09","M"
"US82900153_252489110164_S01_GE2_105_Jan09","M"
"US82900153_252489110165_S01_GE2_105_Jan09","M"
"US82900153_252489110166_S01_GE2_105_Jan09","F"
"US82900153_252489110167_S01_GE2_105_Jan09","F"
"US82900153_252489110169_S01_GE2_105_Jan09","F"
"US82900153_252489110170_S01_GE2_105_Jan09","M"
"US82900153_252489110173_S01_GE2_105_Jan09","M"
"US82900153_252489110174_S01_GE2_105_Jan09","M"
"US82900153_252489110175_S01_GE2_105_Jan09","M"
"US82900153_252489110176_S01_GE2_105_Jan09","M"
"US82900153_252489110177_S01_GE2_105_Jan09","M"
"US82900153_252489110178_S01_GE2_105_Jan09","M"
"US82900153_252489110179_S01_GE2_105_Jan09","F"
"US82900153_252489110180_S01_GE2_105_Jan09","F"
"US82900153_252489110181_S01_GE2_105_Jan09","M"
"US82900153_252489110182_S01_GE2_105_Jan09","M"
"US82900153_252489110183_S01_GE2_105_Jan09","M"
"US82900153_252489110184_S01_GE2_105_Jan09","F"
"US82900153_252489110185_S01_GE2_105_Jan09","F"
"US82900153_252489110186_S01_GE2_105_Jan09","F"
"US82900153_252489110188_S01_GE2_105_Jan09","M"
"US82900153_252489110189_S01_GE2_105_Jan09","F"
"US82900153_252489110190_S01_GE2_105_Jan09","F"
"US82900153_252489110191_S01_GE2_105_Jan09","M"
"US82900153_252489110192_S01_GE2_105_Jan09","M"
"US82900153_252489110193_S01_GE2_105_Jan09","M"
"US82900153_252489110194_S01_GE2_105_Jan09","M"
"US82900153_252489110195_S01_GE2_105_Jan09","M"
"US82900153_252489110196_S01_GE2_105_Jan09","M"
"US82900153_252489110197_S01_GE2_105_Jan09","M"
"US82900153_252489110198_S01_GE2_105_Jan09","M"
"US82900153_252489110221_S01_GE2_105_Jan09","F"
"US82900153_252489110222_S01_GE2_105_Jan09","M"
"US82900153_252489110223_S01_GE2_105_Jan09","M"
"US82900153_252489110224_S01_GE2_105_Jan09","M"
"US82900153_252489110225_S01_GE2_105_Jan09","M"
"US82900153_252489110226_S01_GE2_105_Jan09","F"
"US82900153_252489110227_S01_GE2_105_Jan09","F"
"US82900153_252489110228_S01_GE2_105_Jan09","F"
"US82900153_252489110229_S01_GE2_105_Jan09","F"
"US82900153_252489110230_S01_GE2_105_Jan09","F"
"US82900153_252489110231_S01_GE2_105_Jan09","F"
"US82900153_252489110232_S01_GE2_105_Jan09","M"
"US82900153_252489110233_S01_GE2_105_Jan09","M"
"US82900153_252489110234_S01_GE2_105_Jan09","M"
"US82900153_252489110235_S01_GE2_105_Jan09","M"
"US82900153_252489110236_S01_GE2_105_Jan09","M"
"US82900153_252489110237_S01_GE2_105_Jan09","M"
"US82900153_252489110238_S01_GE2_105_Jan09","M"
"US82900153_252489110239_S01_GE2_105_Jan09","M"
"US82900153_252489110240_S01_GE2_105_Jan09","M"
"US82900153_252489110241_S01_GE2_105_Jan09","F"
"US82900153_252489110242_S01_GE2_105_Jan09","F"
"US82900153_252489110243_S01_GE2_105_Jan09","M"
"US82900153_252489110244_S01_GE2_105_Jan09","M"
"US82900153_252489110245_S01_GE2_105_Jan09","M"
"US82900153_252489110246_S01_GE2_105_Jan09","M"
"US82900153_252489110247_S01_GE2_105_Jan09","M"
"US82900153_252489110248_S01_GE2_105_Jan09","M"
"US82900153_252489110249_S01_GE2_105_Jan09","M"
"US82900153_252489110250_S01_GE2_105_Jan09","M"
"US82900153_252489110251_S01_GE2_105_Jan09","M"
"US82900153_252489110252_S01_GE2_105_Jan09","M"
"US82900153_252489110253_S01_GE2_105_Jan09","M"
"US82900153_252489110254_S01_GE2_105_Jan09","M"
"US82900153_252489110255_S01_GE2_105_Jan09","M"
